pre frontal cortex,posterior parietal cortex,pfc,prefrontal cortex,posteriorparietal cortex,ppc
0,0,0,8,0,0
0,0,15,12,0,0
0,0,35,0,0,0
0,0,73,0,0,0
0,0,45,11,0,0
0,0,1,0,0,0
0,0,0,15,0,0
0,0,1,45,0,0
1,0,26,6,0,0
0,0,7,7,0,0
0,0,35,0,0,0
0,0,0,10,0,0
2,0,30,3,0,0
0,0,0,24,0,0
0,2,0,3,0,0
0,0,3,7,0,0
0,0,13,15,0,0
0,0,86,24,0,0
0,1,0,5,0,0
0,0,123,23,0,0
2,0,7,17,0,0
0,1,0,2,0,0
1,0,0,15,0,0
0,0,34,5,0,0
0,0,9,3,0,0
1,0,172,4,0,0
1,0,40,12,0,0
0,0,17,0,0,0
0,0,59,36,0,0
0,0,210,37,0,0
0,0,23,0,0,0
0,0,0,1,0,0
0,0,2,0,0,0
0,0,0,2,0,0
0,0,3,6,0,0
0,0,16,0,0,0
0,0,20,0,0,0
0,1,15,10,0,0
0,0,75,13,0,0
0,0,42,3,0,0
0,0,0,3,0,0
0,0,18,0,0,0
1,0,74,27,0,0
0,0,1,9,0,0
0,0,27,8,0,0
0,4,3,8,0,15
0,0,0,1,0,0
0,0,0,4,0,0
0,0,36,25,0,0
0,0,11,10,0,0
0,0,0,51,0,0
0,0,8,7,0,0
0,0,5,17,0,0
0,0,13,0,0,0
0,0,0,1,0,0
0,0,16,4,0,0
0,0,23,5,0,0
0,0,27,13,0,0
0,0,2,0,0,0
0,0,14,6,0,0
0,0,97,0,0,0
0,0,13,8,0,0
0,0,67,18,0,0
0,0,0,13,0,0
2,0,0,8,0,0
1,0,0,17,0,0
0,0,70,51,0,0
0,0,2,1,0,0
0,0,48,0,0,0
0,1,58,13,0,0
0,0,10,10,0,0
0,0,25,4,0,0
1,0,41,20,0,0
1,0,3,3,0,0
1,0,20,4,0,0
0,0,0,0,0,0
0,0,22,16,0,0
0,0,84,4,0,0
0,0,0,6,0,0
0,0,85,0,0,0
0,2,22,17,0,0
2,0,0,1,0,0
0,0,0,21,0,0
1,0,8,22,0,0
0,0,50,51,0,0
0,0,15,5,0,0
0,0,2,12,0,0
0,0,26,7,0,0
0,0,0,2,0,0
0,0,0,0,0,0
0,0,20,31,0,0
0,0,0,0,0,0
0,0,14,6,0,0
0,0,17,5,0,0
0,0,3,0,0,0
0,0,32,0,0,0
0,0,9,11,0,0
0,0,84,0,0,0
1,0,34,14,0,0
0,0,38,0,0,0
0,0,23,0,0,0
0,0,41,6,0,0
0,0,0,13,0,0
0,0,20,4,0,0
0,0,1,0,0,0
0,0,0,12,0,0
0,0,9,0,0,0
0,0,65,8,0,0
0,0,20,6,0,0
0,0,0,8,0,0
0,0,42,0,0,0
0,0,23,0,0,0
1,0,23,7,0,0
0,0,0,2,0,0
0,0,1,3,0,0
0,0,0,17,0,0
0,4,9,6,0,2
0,0,0,1,0,0
0,0,14,10,0,0
0,0,2,0,0,0
0,0,0,17,0,0
1,2,9,1,0,0
0,0,0,18,0,0
0,0,0,4,0,0
0,1,52,19,0,0
0,0,46,4,0,0
0,0,279,34,0,0
0,0,29,41,0,0
0,0,32,15,0,0
1,0,0,24,0,0
2,0,26,30,0,0
0,0,8,5,0,0
0,0,21,4,0,0
0,0,19,25,0,0
0,0,0,25,0,0
0,0,13,11,0,0
0,0,0,2,0,0
2,0,2,22,0,0
0,0,12,0,0,0
0,0,14,32,0,0
0,0,25,5,0,0
2,0,0,18,0,0
0,0,21,9,0,0
0,0,258,11,0,0
1,0,1,10,0,0
0,0,6,4,0,0
0,1,0,6,0,0
0,0,51,8,0,0
0,0,41,17,0,0
0,0,25,17,0,0
0,0,0,6,0,0
0,0,19,17,0,0
0,0,57,17,0,0
0,0,33,25,0,0
0,1,136,15,0,0
0,0,0,2,0,0
0,0,30,0,0,0
0,0,34,11,0,0
0,4,0,12,0,0
0,0,19,0,0,0
0,0,22,0,0,0
0,0,41,0,0,0
0,0,43,0,0,0
1,0,24,7,0,0
0,0,37,10,0,0
0,0,11,12,0,0
0,0,6,8,0,0
0,0,0,17,0,0
0,0,3,0,0,0
0,0,0,6,0,0
0,0,45,13,0,0
1,0,30,7,0,0
0,0,87,13,0,0
0,0,32,19,0,0
0,0,0,11,0,0
1,0,96,7,0,0
0,0,347,49,0,0
0,0,7,13,0,0
0,0,27,0,0,0
0,0,0,8,0,0
0,0,36,10,0,0
0,0,0,0,0,0
0,0,1,2,0,0
1,0,26,17,0,0
1,0,34,5,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,32,12,0,0
1,0,0,14,0,0
0,0,13,0,0,0
0,0,0,3,0,0
2,0,122,18,0,0
0,0,8,10,0,0
0,0,0,16,0,0
0,0,23,13,0,0
0,0,0,1,0,0
0,1,4,10,0,0
2,0,69,31,0,0
0,0,42,8,0,0
1,0,18,13,0,0
0,0,14,0,0,0
2,0,1,30,0,0
0,0,31,13,0,0
0,2,14,6,0,8
0,0,0,2,0,0
0,0,0,0,0,0
0,0,6,0,0,0
0,1,36,5,0,0
0,0,55,8,0,0
0,0,73,24,0,0
0,0,45,8,0,8
1,0,6,2,0,0
0,0,55,36,0,0
0,0,64,23,0,0
0,0,23,13,0,0
0,0,10,0,0,0
0,0,64,0,0,0
0,0,0,3,0,0
0,0,18,0,0,0
0,0,167,20,0,0
0,0,28,4,0,0
0,0,0,9,0,0
0,0,29,0,0,0
0,0,3,44,0,0
0,0,98,9,0,0
0,0,0,6,0,0
0,0,0,17,0,0
0,0,0,3,0,0
0,0,7,6,0,0
1,0,0,9,0,0
0,0,33,13,0,0
0,0,0,5,0,0
2,4,14,17,0,15
0,0,111,14,0,0
1,1,8,27,0,0
0,0,8,1,0,0
0,0,0,0,0,0
0,0,16,0,0,0
0,0,0,52,0,0
0,0,7,4,0,0
0,0,1,0,0,0
0,0,0,2,0,0
2,0,0,37,0,0
0,0,1,1,0,0
0,0,0,7,0,0
0,0,11,0,0,0
0,0,31,0,0,0
0,0,62,11,0,0
0,2,0,11,0,0
1,0,0,43,0,0
0,0,15,2,0,0
0,0,26,5,0,0
0,0,1,23,0,0
0,0,18,0,0,0
0,0,1,0,0,0
0,0,41,0,0,0
0,0,71,15,0,0
1,0,31,8,0,0
0,0,46,0,0,0
0,0,0,0,0,0
0,0,83,19,0,0
0,0,25,9,0,0
0,0,18,9,0,0
0,0,24,7,0,0
0,0,48,0,0,0
0,0,43,13,0,0
0,0,350,69,0,0
0,0,0,4,0,0
1,0,0,5,0,0
0,0,0,10,0,0
0,0,5,2,0,0
0,0,0,2,0,0
1,0,29,5,0,0
1,0,0,12,0,0
0,1,26,4,0,0
0,0,58,3,0,0
0,0,85,11,0,0
0,0,4,2,0,0
0,0,39,0,0,0
0,1,7,12,0,0
0,0,13,10,0,0
0,0,12,0,0,0
0,0,11,4,0,0
0,0,83,0,0,0
0,0,0,13,0,0
0,0,0,2,0,0
0,0,11,0,0,0
0,0,0,1,0,0
1,0,17,4,0,0
0,0,15,0,0,0
0,0,86,0,0,0
0,1,3,4,0,0
0,0,17,9,0,0
0,0,7,4,0,0
0,0,0,18,0,0
0,0,0,59,0,0
0,0,11,4,0,0
0,0,13,0,0,0
0,0,27,6,0,0
0,0,13,0,0,0
2,0,0,20,0,0
0,0,22,7,0,0
1,0,0,23,0,0
0,0,1,4,0,0
0,0,19,6,0,0
0,0,29,15,0,0
0,0,104,7,0,0
0,0,0,9,0,0
